Job ID,Title,Company,Location,Description,Date
3810228313,AI Data Lead,Luxoft,Poland (Remote),"AI Data Lead
Luxoft
Poland (Remote)
Applicant review time is typically 1-2 weeks
Promoted
5 applicants
Easy Apply",2024/01/21
3799097771,Data Consultant,DARWIND - empowering evolution,Brussels Metropolitan Area (Hybrid),"Data Consultant
DARWIND - empowering evolution
Brussels Metropolitan Area (Hybrid)
Response time is typically 4 days
Promoted
Easy Apply",2024/01/21
3808502061,Data Engineer,RED Global,Poland (Remote),"Data Engineer
RED Global
Poland (Remote)
Actively recruiting
Promoted
24 applicants
Easy Apply",2024/01/21
3805045113,Data & Analytics Consultant,TriFinance Belgium,"Ghent, Flemish Region, Belgium (Hybrid)","Data & Analytics Consultant
TriFinance Belgium
Ghent, Flemish Region, Belgium (Hybrid)
Actively recruiting
Promoted
2 applicants",2024/01/21
3804080396,Data Engineer,Nexer Insight,"Gothenburg, Vastra Gotaland County, Sweden (Hybrid)","Data Engineer
Nexer Insight
Gothenburg, Vastra Gotaland County, Sweden (Hybrid)
Actively recruiting
Promoted
14 applicants",2024/01/21
3802171293,Principal Data Engineer,That Recruitment Company,"Amsterdam, North Holland, Netherlands (Hybrid)","Principal Data Engineer
That Recruitment Company
Amsterdam, North Holland, Netherlands (Hybrid)
Actively recruiting
Promoted
Easy Apply",2024/01/21
3803183033,Consultant SEMARCHY MDM / Data Gouvernance - Lyon H/F,Business & Decision,"Lyon, Auvergne-Rhône-Alpes, France (On-site)","Consultant SEMARCHY MDM / Data Gouvernance - Lyon H/F
Business & Decision
Lyon, Auvergne-Rhône-Alpes, France (On-site)
Actively recruiting
Promoted
3 applicants",2024/01/21
3791837014,Data Analyst (Campaign Team),Allegro,Warsaw Metropolitan Area (Hybrid),"Data Analyst (Campaign Team)
Allegro
Warsaw Metropolitan Area (Hybrid)
Actively recruiting
Promoted",2024/01/21
3803807465,Data Analyst Internship,Freudenberg Sealing Technologies,"Pinerolo, Piedmont, Italy (Remote)","Data Analyst Internship
Freudenberg Sealing Technologies
Pinerolo, Piedmont, Italy (Remote)
Promoted",2024/01/21
3801259493,Principle Data Engineer | 100% Remote,UST,"Madrid, Community of Madrid, Spain (Remote)","Principle Data Engineer | 100% Remote
UST
Madrid, Community of Madrid, Spain (Remote)
Actively recruiting
Promoted",2024/01/21
search,Part-Time Work From Home as Photo Collector Anywhere in Europe,TransPerfect,"St-Étienne, Auvergne-Rhône-Alpes, France (Remote)","Part-Time Work From Home as Photo Collector Anywhere in Europe
TransPerfect
St-Étienne, Auvergne-Rhône-Alpes, France (Remote)
Actively recruiting
Promoted
17 applicants",2024/01/21
search,Part-Time Work From Home as Photo Collector Anywhere in Europe,TransPerfect,"Mâcon, Bourgogne-Franche-Comté, France (Remote)","Part-Time Work From Home as Photo Collector Anywhere in Europe
TransPerfect
Mâcon, Bourgogne-Franche-Comté, France (Remote)
Actively recruiting
Promoted
14 applicants",2024/01/21
search,STEM Aspire Mentorship Program 2024,Dell Technologies,"Paris, Île-de-France, France (Remote)","STEM Aspire Mentorship Program 2024
Dell Technologies
Paris, Île-de-France, France (Remote)
Actively recruiting
Promoted",2024/01/21
search,Consultant(e) Dataviz QlikSense F/H,CGI,Greater Toulouse Metropolitan Area,"Consultant(e) Dataviz QlikSense F/H
CGI
Greater Toulouse Metropolitan Area
Promoted",2024/01/21
search,AMOA BI - Talend + Tableau,K-LAGAN,Greater Poitiers Area (On-site),"AMOA BI - Talend + Tableau
K-LAGAN
Greater Poitiers Area (On-site)
Promoted
Easy Apply",2024/01/21
search,Développeur Full Stack React/JS,C-MonEtiquette,"Bordeaux, Nouvelle-Aquitaine, France (On-site)","Développeur Full Stack React/JS
C-MonEtiquette
Bordeaux, Nouvelle-Aquitaine, France (On-site)
Promoted
Easy Apply",2024/01/21
3810283146,AI Data Lead,Luxoft,Poland (Remote),"AI Data Lead
Luxoft
Poland (Remote)
Applicant review time is typically 1-2 weeks
Promoted
9 applicants
Easy Apply",2024/01/21
3794015955,Data Manager (H/F),Antenor,"Pays de la Loire, France (Hybrid)","Data Manager (H/F)
Antenor
Pays de la Loire, France (Hybrid)
Your profile matches this job
Promoted
Easy Apply",2024/01/21
3791776343,Account Manager - Data & AI,Crayon,"Amsterdam, North Holland, Netherlands (Hybrid)","Account Manager - Data & AI
Crayon
Amsterdam, North Holland, Netherlands (Hybrid)
Response time is typically 5 days
Promoted
Easy Apply",2024/01/21
3809510388,Data Modeler,Banca Transilvania,"Cluj, Romania (Hybrid)","Data Modeler
Banca Transilvania
Cluj, Romania (Hybrid)
Actively recruiting
Promoted
11 applicants
Easy Apply",2024/01/21
3799295161,Data Engineer,Doghouse Recruitment,"Utrecht, Netherlands (On-site)","Data Engineer
Doghouse Recruitment
Utrecht, Netherlands (On-site)
Actively recruiting
Promoted
Easy Apply",2024/01/21
