Title,Salary,Company,Contract,Location,Sector,Url,Date,Description,Duration,Keyword,Site
Ingénieur en Intelligence Artificielle,"Salaire :
Non spécifié",OSE ENGINEERING,CDI,Saint-Rémy-lès-Chevreuse,"Logiciels, Intelligence artificielle / Machine Learning, Big Data",https://www.welcometothejungle.com/fr/companies/ose-engineering/jobs/ingenieur-data-scientist_saint-remy-les-chevreuse?q=75bf908f6c880f81055c6f9ed1d670e1&o=8899b923-6a16-4cc1-9118-60f2579f15c9&p=true,2024/01/19,"Dans le cadre d’un projet avec un de ses clients et du renforcement du pôle IA, OSE Engineering recherche activement un ingénieur en Intelligence Artificielle dont les missions principales sont :Nettoyage et structuration des données en possession de l’entreprise ou de ses clientsRécupération, visualisation et analyse des données pertinentesÉlaboration de modèles prédictifsInterprétation et modélisation des résultats d’analyse des données pour les rendre lisibles, compréhensibles et exploitablesSuivi des problématiques métier d’un clientLes systèmes étudiés sont principalement des systèmes physiques énergétiques, le candidat sera souvent amené à se plonger dans le fonctionnement et la physique des systèmes étudiés, et notamment les différentes contraintes opératoires et métiers.Ce poste est à 50% en télétravail et 50% chez un client situé à Saint-Rémy-Lès-Chevreuse (78).Les missions principales sont :Analyser et valoriser les données en possession de l’entreprise ou de ses clients via notamment l’utilisation d’outils développés par OSE Engineering",Undetermined,data science,Welcome to the Jungle
Data Scientist confirmé(e) ou senior - CDI - Paris,"Salaire :
Non spécifié",ARTELYS,CDI,Paris,"Ingénieries Spécialisées, IT / Digital",https://www.welcometothejungle.com/fr/companies/artelys/jobs/data-scientist-confirme-ou-senior_paris?q=75bf908f6c880f81055c6f9ed1d670e1&o=29706225-967b-4e7f-ae6c-5a63bb6ebfc9&p=true,2023/11/27,"Au sein d’une équipe dynamique de haut niveau, tu interviendras conjointement sur des projets de R&D et clients, centrés sur la valorisation des données, la conception et l’implémentation de méthodes de Data Science :Extraire, structurer et explorer des jeux de données bruts (potentiellement très volumineux et de sources disparates), implémenter des techniques de visualisation pour en intuiter le sens, appliquer des méthodes de consolidation afin de leur donner une structure robuste servant de base à la modélisationDéterminer et construire l’environnement d’apprentissage (variables explicatives, procédure de test/validation, critères de performances).Implémenter et tester un large spectre des solutions de modélisation (des statistiques classiques aux techniques modernes du machine learning), afin d’en exploiter la meilleure combinaisonParticiper à l’industrialisation des modèles d’intelligence artificielle en améliorant la robustesse des algorithmes, en prenant part à la phase de recette au moment de la mise en production et en implémentant les éléments de monitoring de performance des modèlesDévelopper des solutions de visualisation et d’exploitation des résultats dans un contexte opérationnel",Undetermined,data science,Welcome to the Jungle
Expert Big Data F/H,"Salaire :
35K à 45K €",ORANGE,CDI,Rennes,"Objets connectés, Big Data, Electronique / Télécommunications",http://app.mytalentplug.com/redirection.aspx?ojid=VOHzPuiXkUl9tiwHFFt86Q==,2024/02/03,"La Direction Grand Ouest recherche un Expert Big Data pour renforcer ses équipes.Curieux et passionné(e) par le Big Data, vous êtes motivé(e) pour apporter votre expertise et vos compétences sur des technologies comme Hadoop, Spark, MongoDB, Kafka, Elastic Search,…Intégré(e) à l’équipe Big Data, vous prenez en charge plusieurs missions :Participer à la capitalisation du savoir déployé lors des projets et à son partage avec les agences du Groupe. Animer la montée en compétences des collaborateurs rattachés à votre domaine d’expertise Participer aux phases d’avant-vente: Rédaction de proposition commerciales, Chiffrages, Soutenances, … Participer à des missions de conseil et/ou d’expertise auprès de nos clients  Gérer un ou plusieurs projets dans des contextes mono ou multi-client.Dans ce contexte, vous devez :Assurer une relation de proximité avec vos clients, auprès desquels vous serez l’interlocuteur privilégié. En relation avec la direction, vous préparez et animez les instances de décisionnelles que les comités de pilotage. Encadrer et faire progresser les différents intervenants sur les projets que vous gérez. Reporter et alerter sur la production, le planning, l’organisation et les membres de l’équipe. Dans ce cadre, vous êtes moteur sur les propositions de solutions à mettre en place et vous participez à l’élaboration et à la mise en oeuvre des plans d’action Détecter les nouveaux besoins client, que vous partagez avec le Directeur.  Promouvoir les offres et le savoir-faire d’Orange Business auprès de vos clients.",Undetermined,data science,Welcome to the Jungle
Architecte Big Data F/H,"Salaire :
30K à 45K €",ORANGE,CDI,Rennes,"Objets connectés, Big Data, Electronique / Télécommunications",http://app.mytalentplug.com/redirection.aspx?ojid=6lET0BCFMm8IOkmgTXJ4CQ==,2024/02/03,"Au sein de notre agence Rennaise, vous intégrez une équipe projet et contribuez à toutes les phases de mise en oeuvre d’une application décisionnelle.Vos principales missions :Animer des études de cadrage.Auditer des architectures DATA existantesDéployer des infrastructures DATA cloud ou on-premiseTransmettre ses compétences à des profils ayant une trajectoire d’expertiseRester informer, se former et former sur les nouvelles solutions DATADomaine de compétences techniques :Maîtrise des technologies du Big Data (Hadoop, Spark, Kafka, Nifi, ELK…)Maitrise des outils de déploiement automatisé et DEVOPS (ANSIBLE, JENKINS, DOCKER, KUBERNETES…)Connaissance au moins d’une architecture Cloud (AWS, AZURE, GCP…)Connaissances d’au moins un langage de programmation objets ou/et de langage scripts (Java, Javascript, Scala, Python…)Connaissances en solutions de bases de données (SQL, NoSQL…)Quelques exemples de missions actuelles :Revue d’une architecture hybride Cloudera/Azure pour un client souhaitant évoluer vers l’industrie 4.0Mise en place d’une plateforme data sous Kubernetes à base de composants open source pour bénéficier des avantages du cloud sur un environnement sécurisé souverainIndustrialisation d’outils de monitoring Kafka sous Ansible pour un client dans le secteur du transport",Undetermined,data science,Welcome to the Jungle
Développeur Datascience Flux Vision F/H,"Salaire :
35K à 45K €",ORANGE,CDI,Belfort,"Objets connectés, Big Data, Electronique / Télécommunications",http://app.mytalentplug.com/redirection.aspx?ojid=1Hq878RrYYLDgVzwZpIrHA==,2024/02/03,"Description de la mission :La croissance très importante du volume des données transitant sur le réseau mobile est à la fois une contrainte pour le dimensionnement des infrastructures et une opportunité de création de valeur pour Orange. Flux Vision est une offre d’Orange Business Services proposant un ensemble de services de mesures de fréquentation des territoires et de mobilités des personnes, en exploitant une plateforme d’analyse des données de signalisation des mobiles sur le réseau Orange. Flux Vision offre une large gamme d’indicateurs statistiques permettant aux acteurs économiques de mieux comprendre les territoires, avec applications dans des domaines clés tels que l’observation touristique, les transports, l’aménagement du territoire ou encore le géomarketing. En quelques années, Flux Vision est devenu une référence mondiale avec plus de 200 clients actifs dans 7 pays. Les données produites peuvent avoir un impact significatif sur les décisions importantes prises par les acteurs de ces différents domaines d’application.La diversification des champs d’applications de ces données, et l’enrichissement des offres marketing impliquent un effort continue de conception de modèles et de développement d’algorithmes de traitement, afin d’augmenter la valeur analytique et prédictive des données restituées à nos clients. D’une grande diversité, ces modèles associent les connaissances du monde des réseaux mobiles, des mathématiques appliquées, des sciences de l’information et tirent le meilleur des outils de la Data Science et du Big Data.",Undetermined,data science,Welcome to the Jungle
Data engineer / Data scientist Flux Vision F/H,"Salaire :
35K à 45K €",ORANGE,CDI,Cesson-Sévigné,"Objets connectés, Big Data, Electronique / Télécommunications",http://app.mytalentplug.com/redirection.aspx?ojid=FK9/DwcsaqifYKANG6MZgQ==,2024/02/03,"Votre mission consistera à travailler sur les indicateurs métier des clients de l’offre Flux Vision, notamment dans les domaines du géomarketing, du transport et du tourisme.Vous aurez en tant que data engineer / data scientist pour mission de travailler au sein d’une équipe de data analyst/data scientist/data engineer sur les sujets suivants :- Mise en place d’algorithmes de data science pour la création et la qualification de nouveaux indicateurs statistiques,- Préparation et qualification des données livrées aux clients,- Participation à l’amélioration de l’appareil de production,- Vous participerez également à l’élaboration et à l’amélioration des livrables clients (rapport d’analyse, tableaux de bord, intégration dans les outils de traitement de la donnée, …),- Vous travaillez en coordination avec les équipes de développement et les équipes d’exploitation.",Undetermined,data science,Welcome to the Jungle
Data Scientist Assurances (H/F) - HSBC,"Salaire :
Non spécifié",HSBC,CDI,Courbevoie,"Banque, Assurance, Finance",https://mycareer.hsbc.com/fr_FR/external/PipelineDetail/Insurance-Data-Scientist/208229,2024/02/03,"Ce que vous allez faire : • Identifie et propose de mettre en œuvre des actions nécessaires au développement de l’activité Epargne et de Prévoyance (Assurance vie Epargne, Emprunteur, Assurance Temporaire décès, …)• Participe à la mise en place de la stratégie analytique et des outils de data science• Analyse les portefeuilles et cartographie les clients• Cible les clients potentiels et alerte sur les profils attriteursConcrètement :• Il/Elle recueille et analyse les données, synthétise les résultats des études et élabore des plans d’actions et/ou recommandations • Il/Elle analysera le comportement des clients et proposera des indicateurs d’appétences• Il/Elle proposera des indicateurs d’acquisition et d’attrition• Il/Elle propose des études sur les produits et les contrats• Il/Elle élabore des études de profils clients et des segmentations opérationnelles• Il/Elle analyse le comportement clients en fonction du canal de distribution/contrat• Il/Elle détermine la clientèle cible appètente aux différents produits",Undetermined,data science,Welcome to the Jungle
Head of Data (Data Science) - Blitz,"Salaire :
Non spécifié",VOODOO,CDI,Paris,"Jeux vidéo, AdTech / MarTech",https://jobs.lever.co/voodoo/4a4c5147-f4fb-466c-aaeb-d3b457bdd9c7/apply?lever-origin=applied&lever-source%5B%5D=wttj,2024/02/03,"We are looking for a talented Head of Data, deeply passionate about algorithms, data science, data-driven decisions and transforming raw data into clear actionable business insights, who will play a key role in the development of Blitz, our real-money gaming platform.MissionAnalyzing large, complex data sets representing the behavior of hundreds of thousands of players to address strategic and operational business questionsProvide actionable recommendations and conclusions from our ab tests to shape our game economy and product roadmapTake the lead on our matchmaking and segmentation effortsLead the data analyst in charge of working on our dashboards and reports to facilitate the understanding of the key business metricsStart our effort toward better game experience balancing to provide state-of-the-art gaming experience to our playersOur stackData: Athena, Redshift, Airflow, DBT, Tableau/Redash",Undetermined,data science,Welcome to the Jungle
Data Scientist (PhD Graduates),"Salaire :
Non spécifié",EQUATIV,CDI,Paris,AdTech / MarTech,https://jobs.lever.co/smartadserver/d35208c1-cc99-4aa7-b103-c5c84628facb/apply?lever-origin=applied&lever-source%5B%5D=wttj,2024/02/03,"👫 About the teamAt Equativ, we’re on a mission to develop advertising technologies that empower our customers to reach their digital business goals. This means that we rely on massively scalable, widely distributed, highly available, and efficient software systems; the platform deals with over 3 millions requests per second managed by 3,000 servers.Our innovation team based in Paris, Nantes, Limoges, Krakow and Berlin is composed of 100+ straightforward and energetic engineers working in an Agile environment and ready to tackle the most complex technical challenges.Your mission 👇You will join the data-science team based in Paris and be responsible for designing awesome machine learning algorithms and deploying them in a constrained dynamic environment with tough competition.We train our models in Google Cloud Platform with billions of logs, and serve them in our own data centers. We use Google Dataflow, AI Platform and Tensorflow. Our neural networks generate 1 million predictions per second, each prediction processed in less than 2 ms.You will have the chance to work on all kinds of machine learning problems (classification/regressions, time series, NLP, recommandation, reinforcement learning...) with all the data you can dream of (even more than that ;) ) and see the impact of your work every day.",Undetermined,data science,Welcome to the Jungle
Consultant Junior & Data Scientist (H/F/N),"Salaire :
42K € par mois",EKIMETRICS,CDI,Paris,"IT / Digital, Stratégie, Audit, Big Data",https://jobs.lever.co/ekimetrics/9456905b-beed-4178-9956-c094f1f74674/apply?lever-source%5B%5D=WTTJ,2024/02/03,"Ekimetrics est leader en data science et fournisseur de solutions AI. Depuis 2006, nous utilisons la data science au service de l’optimisation de performance marketing, business et de la transition vers une performance plus durable.Si vous êtes passionné.e de data, ou de technologie en général, et que vous avez envie d’être acteur.rice de votre avenir professionnel, votre place est sûrement chez Ekimetrics !📊Et si nous vous présentions quelques datas ?·       400 expert.e.s en data science ·       1000 projets divers et variés pour plus de 350 clients ·       4 bureaux : Paris, Hong Kong, Londres et New York ·       1 milliard de $ de profits générés pour nos clients depuis 2006  🌱Chez Ekimetrics nous avons l’ambition d’accompagner nos clients à repenser leur business model, en réconciliant performance économique et objectifs durables, grâce à la data science.C’est pourquoi nous avons en interne toutes les compétences nous permettant de répondre aux besoins de nos clients : Product Managers, Product Designers, Data Architects, Lead Tech, Data Engineers, DevOps Engineers, Data Scientists.",Undetermined,data science,Welcome to the Jungle
